"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
0,NA,NA,11,13,62.9300003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,9,11,39.3300018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,19,21,80.2200012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,15,30,61.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,13,8,23.0400009155273,NA,NA,NA,NA,NA,NA
0,24,19,18,18,36.9500007629395,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
1,NA,NA,6,2,73.4899978637695,NA,NA,NA,NA,NA,NA
1,24,19,10,14,28.6000003814697,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
1,10,9,12,17,66.6500015258789,89.9100036621094,88.6600036621094,86,NA,"i16re","vos8u"
1,NA,NA,9,10,50.8199996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,10,12,67.7699966430664,NA,NA,NA,NA,NA,NA
1,12,10,11,11,30.8899993896484,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
0,NA,NA,11,2,40.75,NA,NA,NA,NA,NA,NA
1,NA,NA,10,12,49.8800010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,6,2,74.879997253418,NA,NA,NA,NA,NA,NA
0,9,13,12,14,24.6700000762939,66.6399993896484,66.120002746582,NA,NA,"lge7y","m5cr4"
1,1,6,9,14,50.3600006103516,83.120002746582,80.7699966430664,69.3899993896484,NA,"biw7n","c5ulo"
0,NA,NA,8,0,45.7200012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,10,0,53.3499984741211,NA,NA,NA,NA,NA,NA
0,18,12,14,15,30.7099990844727,59.4599990844727,65.4199981689453,NA,NA,"sxjix","jx4fj"
1,NA,NA,20,27,57.6399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,4,5,25.8799991607666,NA,NA,NA,NA,NA,NA
1,NA,NA,13,8,58.5999984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,9,7,55.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,24,30,54.7999992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,2,0,33.9900016784668,NA,NA,NA,NA,NA,NA
