"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"qtsok","m",38.4000015258789,0,"ccr18",69.5205459594727,31.120548248291,6,"ktope",75.0500030517578,36.6500015258789,6
"cre32","m",17.5643844604492,0,"xd9pq",NA,NA,NA,NA,NA,NA,NA
"vwcfb","f",51.6904106140137,6,NA,NA,NA,NA,NA,NA,NA,NA
"ysiok","m",36.6794509887695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c0eyj","m",21.758903503418,1,NA,NA,NA,NA,NA,NA,NA,NA
"nyqlw","m",54.6931495666504,5,"cas4x",70.2958908081055,15.6027393341064,7,"sd2l2",67.2931518554688,12.6000003814697,5
"klwlx","m",62.1863021850586,6,NA,NA,NA,NA,NA,NA,NA,NA
"verkm","m",78.6137008666992,1,NA,NA,NA,NA,NA,NA,NA,NA
"v50u6","f",27.6739730834961,2,"tmrj3",53.6904106140137,26.0164375305176,8,"um5f1",47.687671661377,20.0136985778809,3
"k99qe","f",19.6739730834961,0,"lmudq",61.8904113769531,42.216438293457,9,NA,NA,NA,NA
"i0l4j","f",22.9232883453369,0,"h0yzm",65.6986312866211,42.7753410339355,8,"tosdh",62.6986312866211,39.7753410339355,8
"g739f","f",18.668493270874,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"zbhyz","m",23.6712322235107,0,"v871y",52.6904106140137,29.0191783905029,6,"vwcfb",51.6904106140137,28.0191783905029,6
"p29gd","m",47.7972602844238,0,"kutd4",NA,NA,NA,"p8pke",NA,NA,NA
"s9x5v","f",28.2465744018555,1.82000005245209,"zqcke",34.0219192504883,5.77534246444702,6,"fytsf",51.6904106140137,23.4438362121582,7
"j4zvz","m",50.7808227539062,2,NA,NA,NA,NA,NA,NA,NA,NA
"x7j2h","f",28.6739730834961,2.8199999332428,"rlgmu",76.7068481445312,48.0328750610352,7,"nx14f",66.7013702392578,38.0273971557617,7
"fvwln","f",48.687671661377,4.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"dwodj","m",57.6931495666504,10.8199996948242,"ccr18",69.5205459594727,11.8273973464966,6,"ktope",75.0500030517578,17.3568496704102,6
"mhu26","m",26.9835624694824,1,"uvilo",51,24.0164375305176,9,"hi1mx",59.6958885192871,32.712329864502,8
"mhizq","f",33.6767120361328,0,NA,NA,NA,NA,"cx05o",NA,NA,NA
"al9n6","m",22.9917812347412,1.63999998569489,NA,NA,NA,NA,"zfynw",45.216438293457,22.2246570587158,6
"yxvr2","f",55.6986312866211,6,NA,NA,NA,NA,NA,NA,NA,NA
"zgqdg","m",32.6767120361328,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"ebcej","m",40.7726020812988,6.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA
"pksip","m",69.4904098510742,9,NA,NA,NA,NA,NA,NA,NA,NA
"p63ti","m",29.6739730834961,1.63999998569489,"rn9s9",62.6986312866211,33.024658203125,3,"csa26",56.6931495666504,27.0191783905029,3
"keq5d","m",16.6739730834961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xebmq","m",48.687671661377,6.6399998664856,"gchsl",79.0547943115234,30.3671226501465,5,"r0d2c",83.5726013183594,34.8849296569824,5
"cf2tq","m",15.6712331771851,0,"pkwpc",54.0383567810059,38.3671226501465,6,"yxvr2",55.6986312866211,40.0273971557617,6
"vm4g0","f",30.7315063476562,2,"ptt0j",59.3698616027832,28.638355255127,6,"metjs",61.7424659729004,31.0109596252441,6
"ytjkh","f",23.0465755462646,2.64000010490417,"agzjv",34.0219192504883,10.9753427505493,6,"ncfr8",54.6931495666504,31.6465759277344,7
"qa4sc","f",34.9150695800781,4.82000017166138,"ccr18",69.5205459594727,34.6054801940918,6,"ktope",75.0500030517578,40.1349296569824,6
"p1eae","m",51.6904106140137,3,"mzbyj",77.0904083251953,25.3999996185303,5,"vkl7d",78.7315063476562,27.0410957336426,5
"vok7y","f",23.2465744018555,1.82000005245209,NA,NA,NA,NA,NA,NA,NA,NA
"itbl3","f",21.668493270874,1.63999998569489,"n4bxs",51.6904106140137,30.0219173431396,9,"ipvj1",39.0273971557617,17.3589038848877,4
"ulffl","f",80.5780792236328,8,NA,NA,NA,NA,NA,NA,NA,NA
"az6iq","m",36.2904090881348,5.46000003814697,NA,NA,NA,NA,NA,NA,NA,NA
"lfo3c","m",20.7616443634033,0,NA,NA,NA,NA,"d3k9p",48.687671661377,27.9260272979736,9
"woyoi","m",25.7616443634033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lxpn2","m",20.7452049255371,0,"dkp4f",49.7643852233887,29.0191783905029,5,"d45fm",45.7616424560547,25.0164375305176,5
"x0m0f","f",70.0383529663086,7,NA,NA,NA,NA,NA,NA,NA,NA
"fk9p5","m",45.7753410339355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jqqzb","m",29.76438331604,0,"spkgn",55.0383567810059,25.2739734649658,3,"eiddq",65.5424652099609,35.7780838012695,3
"zmzvb","m",27.6739730834961,0.819999992847443,"pb47o",38.0273971557617,10.3534250259399,3,"ttgu3",31.0219173431396,3.34794521331787,3
"qrm12","m",44.0299987792969,0,"mzbyj",77.0899963378906,33.060001373291,5,"vkl7d",78.7300033569336,34.7000007629395,5
"grhn3","m",51.0821914672852,2.8199999332428,"xo4a4",69.8000030517578,18.7178077697754,7,"ulffl",80.5780792236328,29.4958896636963,8
"a3p13","m",22.4191780090332,0,"xxu4k",53.0054779052734,30.5863018035889,11,"hiuzm",52.689998626709,30.2708225250244,9
"ahzj3","f",58.0410957336426,7,NA,NA,NA,NA,"y5nqt",76.7068481445312,18.6657543182373,2
"d1uc0","m",23.7616443634033,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"s0k8c","m",39.1506843566895,2.8199999332428,NA,NA,NA,NA,NA,NA,NA,NA
"b313o","f",16.758903503418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qdjty","m",61.6958885192871,8,NA,NA,NA,NA,NA,NA,NA,NA
"l741r","f",67.7013702392578,8,NA,NA,NA,NA,NA,NA,NA,NA
"zx2ui","f",30.6767120361328,4.82000017166138,"e4jrk",38.024658203125,7.34794521331787,9,"k1bp9",48.312328338623,17.6356163024902,7
"r4bzh","m",17.6657543182373,0,NA,NA,NA,NA,"qnv5e",36.6794509887695,19.0136985778809,3
"ikqgx","f",25.5342464447021,2,"rcdon",56.0383567810059,30.5041103363037,5,"vf3u8",61.9561653137207,36.4219169616699,5
"xz758","m",24.7616443634033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kaazy","m",18.668493270874,0,NA,NA,NA,NA,"cx05o",NA,NA,NA
"g4fl6","m",23.6712322235107,0.819999992847443,"nraxg",42.6849327087402,19.0136985778809,8,"c51t9",38.5205497741699,14.8493146896362,7
"wc50b","m",19.0876712799072,0,"qnl0y",40.6821899414062,21.5945205688477,4,"kkhz2",39.6821899414062,20.5945205688477,4
"myq5f","m",21.9808216094971,0,"zqcke",34.0219192504883,12.0410957336426,6,"fytsf",51.6904106140137,29.7095890045166,7
"w66om","m",44.2849311828613,5.82000017166138,"pksip",69.4904098510742,25.2054786682129,9,"ksapg",61.8400001525879,17.5550689697266,3
"qq7jr","m",28.6739730834961,1.63999998569489,"c87d6",46.0328750610352,17.3589038848877,8,"u85lo",44.6699981689453,15.9960269927979,8
"b755g","f",57.6931495666504,5,NA,NA,NA,NA,NA,NA,NA,NA
"nzatr","f",37.5178070068359,3.64000010490417,"yw6ai",61.5534248352051,24.0356159210205,8,"rtdq5",60,22.4821910858154,10
"o4tco","m",39.6821899414062,7.82000017166138,"xwtvk",61.6958885192871,22.0136985778809,8,"pherb",58.6958885192871,19.0136985778809,8
"mo9co","f",46.7780838012695,NA,NA,NA,NA,NA,"oc5ly",81.3835601806641,34.6054801940918,6
"grfh3","f",58.5862998962402,4,NA,NA,NA,NA,NA,NA,NA,NA
"ewtzn","f",21.1863021850586,1.63999998569489,"a99nn",47.0986289978027,25.9123287200928,8,"qr6xo",45.613697052002,24.427396774292,7
"gy60o","f",36.7698631286621,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t6zer","m",33.1178092956543,4.6399998664856,"ssn5h",68.1095886230469,34.9917793273926,11,"edth4",51.0356178283691,17.9178085327148,8
"a5loi","m",57.3835601806641,5,NA,NA,NA,NA,NA,NA,NA,NA
"pdz20","f",16.7315063476562,0.819999992847443,"rzq0e",52.2082176208496,35.4767112731934,3,"gy60o",NA,NA,NA
"wifyg","m",22.8383560180664,0,"xwtvk",61.6958885192871,38.8575325012207,8,"pherb",58.6958885192871,35.8575325012207,8
"r8ntq","f",28.6739730834961,2.46000003814697,"uc0t8",NA,NA,NA,"ahzj3",58.0410957336426,29.3671226501465,7
"n2fi3","m",38.5232887268066,7.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA
"uqu7o","m",40.6821899414062,5.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"j2tct","f",25.7616443634033,2.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"if0ww","f",30.6767120361328,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"hgipq","m",26.5123291015625,0.819999992847443,"oeqhm",NA,NA,NA,"blo4c",48.687671661377,22.1753425598145,4
"okz3x","m",25.5424652099609,0.819999992847443,"xxu4k",53.0054779052734,27.4630146026611,11,"hiuzm",52.689998626709,27.147533416748,9
