"id","sex","age","weight","mid","agem","weightm","fid","agef","weightf"
"fyv25",1,NA,NA,"ic6ip",NA,NA,"l62gg",52.6500015258789,59.064079284668
"a0dtl",0,NA,NA,"ryeuy",NA,NA,"uxm5x",NA,NA
"pwojg",1,31.7384624481201,47.2899055480957,"xzpgo",NA,NA,"wr1vm",NA,NA
"pnjiy",1,39.5999984741211,64.0909118652344,"qs6z9",NA,NA,"upxsi",NA,NA
"uux0o",1,32.2861099243164,47.8115882873535,"dum4r",NA,NA,"nvtii",57.1238098144531,58.7577514648438
"yv8z5",0,NA,NA,"rg8zg",45.4166679382324,54.6530303955078,"f1k25",48.658332824707,59.5075759887695
"n18qo",0,NA,NA,"cmt11",66.5666656494141,46.257682800293,"ykixp",66.5500030517578,61.4115867614746
"tuui8",1,32.3857154846191,51.5403518676758,"tkom3",NA,NA,"d78su",41.7000007629395,54.2000007629395
"q2rhn",0,32.6818199157715,50.7573585510254,"elcaa",51.2384605407715,50.0740776062012,"duhhd",50.5250015258789,61.0141334533691
"zh8u9",0,30.7999992370605,67.3001327514648,"bbmxd",NA,NA,"f0ub9",NA,NA
"y604e",1,29.1000003814697,60.9090919494629,"syqd1",NA,NA,"r8sat",NA,NA
"v0krz",0,29.1000003814697,47.2727279663086,"fo1eg",53.75,45.018180847168,"if137",NA,NA
"ahlyy",1,NA,NA,"m964b",NA,NA,"ajfh2",NA,NA
"i4pjc",1,32.1142845153809,58.8090858459473,"zz5uy",NA,NA,"e2fjc",50.9470596313477,57.7939834594727
"mgzkf",1,19.3999996185303,68.1999969482422,"j83qu",NA,NA,"iu3vx",NA,NA
"e4zxq",1,31.4571437835693,55.2528991699219,"fuycm",NA,NA,"ksonm",NA,NA
"m96al",1,22.9833335876465,61.4606056213379,"muw48",NA,NA,"cbch9",NA,NA
"ixv51",1,NA,NA,"sq4x2",56.0750007629395,47.8486328125,"a9883",62.5999984741211,53.9984855651855
"fpkga",1,29.1545448303223,57.5882263183594,"l70m3",NA,NA,"og452",NA,NA
"n6ljm",0,31.1777782440186,62.0506858825684,"zb7i6",49.478572845459,49.5367965698242,"ns94o",51.2666664123535,52.024242401123
"gv1ia",1,NA,NA,"syqd1",NA,NA,"r8sat",NA,NA
"vw3a7",1,32.3428573608398,63.3506088256836,"iggqt",NA,NA,"c950v",NA,NA
"jea6a",1,28.25,66.4787902832031,"vjvk2",NA,NA,"pn4so",NA,NA
"h542l",0,NA,NA,"hlkoj",NA,NA,"smp05",44.2000007629395,55.5
"t9bnh",1,30.2999992370605,67.5852279663086,"elcaa",51.2384605407715,50.0740776062012,"duhhd",50.5250015258789,61.0141334533691
"dp6r4",0,NA,NA,"t7pys",54.3666648864746,47.6688461303711,"if137",NA,NA
"larjt",0,23.8666667938232,55.3575744628906,"dum4r",NA,NA,"nvtii",57.1238098144531,58.7577514648438
"kgojz",0,29.9722213745117,44.0863876342773,"mnxay",41,48.9300384521484,"q9axt",41.5533332824707,62.2578430175781
