"age","agem","rs","rsm","mid"
13,52,NA,10,"xh9di"
23,60,3.94000005722046,4,"kq82p"
45,25,2,3,"yfucm"
30,50,NA,12,"duv1t"
23,40,NA,9,"b7oyg"
35,60,4.96999979019165,9,"wfeiv"
40,60,NA,8,"x8ga0"
22,58,1.94000005722046,7,"qs1uh"
38,61,NA,4,"pmmr5"
23,60,2.94000005722046,5,"ovf1m"
35,48,1.97000002861023,6,"unvd7"
21,62,1.94000005722046,5,"juhv1"
40,60,NA,6,"itajc"
38,75,NA,10,"xxdzw"
23,50,1.97000002861023,9,"k8fm2"
25,46,4.90999984741211,5,"sfm93"
25,45,2.97000002861023,7,"veaqv"
37,68,5.94000005722046,6,"ow381"
24,65,NA,6,"r29av"
38,60,NA,4,"u52lu"
58,50,5,3,"ie2im"
36,66,5,5,"d0fdo"
22,45,1.94000005722046,5,"nbqlt"
43,70,8.9399995803833,4,"dkfnh"
54,79,NA,7,"m57fi"
23,47,1.94000005722046,8,"ubl1g"
17,62,NA,9,"pmofb"
40,48,NA,6,"unvd7"
48,48,7,3,"ox66i"
25,42,NA,4,"by9xq"
18,54,NA,3,"mgmff"
18,46,NA,6,"i4e5d"
30,60,3.97000002861023,7,"xvkng"
17,36,1.94000005722046,4,"xec6u"
39,56,NA,4,"ny63d"
29,48,NA,4,"hn0he"
31,50,NA,9,"k8fm2"
26,45,5.90999984741211,6,"pwzhq"
12,60,NA,9,"pjgsp"
53,70,10,5,"vwj5r"
29,62,NA,7,"bj1mb"
63,51,NA,3,"dlvpd"
67,78,NA,4,"z6il2"
46,75,NA,5,"g7hgj"
37,78,6.94000005722046,6,"ko9fb"
15,45,NA,6,"ln2ai"
40,75,NA,5,"g7hgj"
31,45,3,7,"fncco"
39,40,3.97000002861023,2,"fjd3u"
26,58,NA,6,"ibhju"
35,57,3.94000005722046,6,"yccc2"
63,78,NA,4,"z6il2"
25,50,NA,10,"x41ja"
16,48,NA,3,"n5xnn"
22,45,1.94000005722046,6,"ln2ai"
15,50,NA,8,"ko77i"
11,42,NA,8,"d4de2"
30,60,2,5,"ydv94"
45,61,5,5,"kb3n8"
23,60,2.94000005722046,6,"j3sa1"
35,38,2.97000002861023,6,"i6dkg"
24,60,1.94000005722046,5,"yfi0d"
23,46,1,1,"ynv3c"
30,55,3,10,"ngtae"
38,40,6,3,"dyq1x"
20,44,NA,5,"t46jx"
23,45,NA,7,"veaqv"
26,50,1,8,"oh95h"
35,68,4.94000005722046,6,"gyq2m"
37,75,NA,5,"sgiy6"
30,40,NA,4,"k3sb4"
23,50,0.970000028610229,8,"ko77i"
28,50,NA,7,"h93jq"
24,59,2.94000005722046,9,"kacff"
30,60,NA,5,"yfi0d"
63,86,NA,4,"ozegq"
42,81,NA,6,"q0o85"
28,60,NA,6,"ygz1a"
29,63,NA,9,"r5c5y"
30,50,6.94000005722046,5,"iez3d"
35,59,2,7,"gioed"
43,58,NA,5,"u2q34"
65,70,3,3,"mzw2c"
44,40,NA,7,"zxmwy"
45,64,NA,4,"o04z5"
51,35,8,2,"y1wor"
17,50,NA,8,"ko77i"
32,56,NA,7,"kowj3"
32,58,7.94000005722046,11,"ozozn"
19,48,NA,11,"tuw9c"
35,65,5,7,"kyjqz"
29,48,4.94000005722046,8,"ygx40"
26,30,1.94000005722046,4,"orm1g"
34,70,4,9,"kdmez"
21,46,0.970000028610229,6,"i4e5d"
26,65,NA,7,"jljkc"
21,49,0.970000028610229,6,"axnyj"
45,60,NA,3,"oaca9"
50,51,5,3,"dlvpd"
52,60,5,8,"x8ga0"
19,38,0.970000028610229,6,"pbuys"
14,49,NA,7,"dowxd"
28,60,NA,9,"i3oyv"
28,50,NA,7,"x4s9x"
56,70,NA,7,"mi70s"
36,75,NA,8,"dtpws"
26,58,0.970000028610229,11,"ozozn"
35,58,4.96999979019165,7,"rnwry"
15,48,NA,11,"ntavw"
37,70,NA,6,"tkdoz"
21,42,0.970000028610229,6,"cgs9a"
34,70,NA,8,"cqpyl"
40,75,NA,8,"dtpws"
33,59,7.94000005722046,7,"gioed"
16,45,NA,8,"pkiue"
34,70,3,3,"uyyfk"
33,66,3.97000002861023,6,"lc5n8"
30,60,NA,9,"i3oyv"
28,60,0.970000028610229,9,"gayo6"
37,65,1,6,"do8rg"
18,44,NA,4,"f83gf"
18,60,NA,9,"t1ymr"
16,50,NA,5,"vhylr"
32,67,4,6,"xklbs"
36,40,4.96999979019165,8,"ku8qo"
18,60,NA,5,"b8iim"
63,60,NA,8,"x8ga0"
26,58,1.94000005722046,7,"jccuf"
40,60,6,4,"kxx4g"
23,65,NA,5,"dqz5m"
42,25,NA,3,"yfucm"
66,86,6,4,"ozegq"
44,70,NA,6,"fe6l5"
35,63,NA,12,"ryo04"
32,55,5,1,"iiyq8"
30,50,4.94000005722046,10,"j03tu"
52,92,NA,9,"xwhnw"
10,38,NA,6,"s7spt"
35,75,3.94000005722046,5,"ie773"
63,75,6,4,"an5ey"
23,48,NA,11,"tuw9c"
17,50,NA,10,"w3aqe"
33,42,3.97000002861023,4,"sjv0v"
37,40,4.96999979019165,3,"nbwhf"
31,61,3.91000008583069,4,"pmmr5"
46,77,NA,5,"mql50"
45,75,NA,8,"dtpws"
40,60,2,3,"x0e3k"
53,80,7,5,"msiya"
26,48,1.94000005722046,12,"vhzcq"
38,65,NA,7,"jljkc"
45,44,NA,5,"d79bz"
39,60,NA,6,"ygz1a"
38,70,3.97000002861023,4,"dkfnh"
10,60,NA,5,"bz5ry"
22,50,NA,7,"h93jq"
24,40,2.94000005722046,3,"qusic"
32,30,NA,2,"ex7tp"
29,63,2.91000008583069,9,"r5c5y"
40,60,NA,11,"mipmh"
21,38,1.94000005722046,8,"yiq82"
30,55,NA,5,"stggx"
50,75,NA,5,"g7hgj"
26,47,3.97000002861023,4,"yy23t"
23,60,NA,7,"e7dlg"
30,60,3.94000005722046,7,"wlg1o"
45,55,NA,6,"dhc1a"
13,46,NA,7,"u17p1"
25,70,0.970000028610229,6,"tkdoz"
23,38,2.97000002861023,9,"uypcu"
25,59,NA,6,"mte8w"
37,56,7.94000005722046,8,"k79i3"
35,63,2.97000002861023,2,"owgpe"
38,60,3.94000005722046,4,"kq82p"
20,70,NA,8,"ds7f0"
60,50,8,4,"paga6"
23,57,NA,9,"ehuy9"
28,58,NA,7,"afx6w"
44,60,7.96999979019165,4,"q4mld"
48,40,NA,6,"bp626"
34,46,NA,6,"o3y9c"
22,63,0.970000028610229,7,"hvkcz"
46,72,5,2,"cpxah"
25,28,NA,2,"c43u3"
21,60,1.94000005722046,11,"paxqy"
64,92,NA,9,"xwhnw"
50,70,3,6,"lz6ds"
