"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",NA,NA,55.4000015258789,41.5900001525879,NA,NA,"kd8ba","t4n2o"
"F",NA,NA,43.0999984741211,30.6200008392334,NA,NA,NA,NA
"F",46.7000007629395,NA,51.2999992370605,23.5799999237061,NA,57.0999984741211,"wqhqw","ygwhp"
"F",NA,NA,45.5999984741211,34.1500015258789,NA,NA,NA,"iw3ff"
"M",51.5,NA,60.7999992370605,24.25,NA,55.7400016784668,"a7uto","upcv6"
"F",NA,NA,59.9000015258789,21.5900001525879,NA,NA,NA,NA
"F",NA,NA,56.9000015258789,30.5499992370605,NA,NA,NA,NA
"F",49.7999992370605,NA,41.2000007629395,18.5799999237061,NA,46.3199996948242,NA,"is34d"
"M",NA,NA,60.5,38.5800018310547,NA,NA,NA,NA
"F",57.5999984741211,59.0999984741211,60.0999984741211,18.5799999237061,63.75,35.4700012207031,"r6wpq","k3i8o"
"F",NA,NA,48.7000007629395,41.7200012207031,NA,NA,"koxli","fzy49"
"F",NA,NA,49.4000015258789,42.1100006103516,NA,NA,"rwkai","tud43"
"F",NA,NA,53.5999984741211,21.6900005340576,NA,NA,NA,NA
"M",57.5999984741211,59.0999984741211,67.3000030517578,22.3299999237061,63.75,35.4700012207031,"r6wpq","k3i8o"
"F",NA,NA,56.0999984741211,26.6200008392334,NA,NA,NA,NA
"F",NA,NA,55,48.7999992370605,NA,NA,NA,NA
"F",NA,NA,52.7999992370605,48.7200012207031,NA,NA,NA,"vmrer"
"F",50.7000007629395,62.4000015258789,61.4000015258789,24.1100006103516,62.5800018310547,49.7000007629395,"jkchu","nx6rz"
"F",NA,NA,46.0999984741211,20.2000007629395,NA,NA,NA,"fvap6"
"M",NA,NA,49.5999984741211,49,NA,NA,NA,NA
"F",NA,NA,40.2999992370605,56.7000007629395,NA,NA,NA,"ucn2v"
"F",NA,NA,50.5999984741211,20.6900005340576,NA,NA,NA,NA
"M",NA,58.4000015258789,68.9000015258789,22.5799999237061,64.5800018310547,NA,"qyzhj",NA
"F",NA,NA,50.5,34.6300010681152,NA,NA,"uhvqs","i8m7p"
"F",NA,NA,58.4000015258789,39.9099998474121,NA,NA,NA,NA
"F",52.7999992370605,NA,57,21.7000007629395,NA,47.0699996948242,"bfnpu","ejefe"
"F",NA,NA,56.2000007629395,26.8700008392334,NA,NA,NA,NA
"M",NA,NA,64.3000030517578,26.5799999237061,NA,NA,"s8nap","z5j73"
"M",52.7999992370605,60.4000015258789,63.5,31.5799999237061,49.5499992370605,48.7200012207031,"htk5c","dbyfw"
"F",NA,NA,48.2999992370605,67.9300003051758,NA,NA,NA,NA
"M",NA,NA,48.5999984741211,51.0800018310547,NA,NA,NA,NA
"F",51.2000007629395,NA,58.7000007629395,20.2900009155273,NA,53.5800018310547,"nyaq2","guysq"
"M",50.4000015258789,NA,61.4000015258789,20.5799999237061,NA,59.8499984741211,"s27yd","ndl06"
"F",51.5,NA,49.5999984741211,35.1199989318848,NA,55.7400016784668,"a7uto","upcv6"
"F",NA,NA,51.4000015258789,20.7199993133545,NA,NA,NA,NA
"F",NA,NA,48.4000015258789,61.6199989318848,NA,NA,NA,NA
"F",NA,NA,42.9000015258789,38.7099990844727,NA,NA,NA,NA
"F",57.5999984741211,59.0999984741211,61.2000007629395,21.3899993896484,63.75,35.4700012207031,"r6wpq","k3i8o"
"M",68.4000015258789,57.9000015258789,66.5,33.25,59.5800018310547,46,"dwl6w","rk2wq"
"F",NA,NA,56.7999992370605,39.5800018310547,NA,NA,"wvovu","hrpi1"
"F",NA,NA,61.2999992370605,22.6299991607666,NA,NA,NA,NA
"M",40.4000015258789,NA,48.4000015258789,57.6399993896484,NA,77.3300018310547,"n2qs0","wv8jc"
"M",NA,NA,64.5999984741211,23.5799999237061,NA,NA,"kh71k","v138u"
"M",NA,NA,59.9000015258789,54.9199981689453,NA,NA,NA,NA
"F",NA,NA,63.5,27.75,NA,NA,NA,NA
"F",NA,NA,52.9000015258789,32.7999992370605,NA,NA,NA,NA
"F",52.9000015258789,NA,57.7000007629395,21.7700004577637,NA,34.5499992370605,"rcksi","qx9e4"
"F",52.7999992370605,60.4000015258789,52,20.5900001525879,49.5499992370605,48.7200012207031,"htk5c","dbyfw"
"M",NA,NA,65.5999984741211,60.0800018310547,NA,NA,"grnqk","s6syk"
"F",NA,NA,60.2999992370605,30.1100006103516,NA,NA,NA,"gjo8v"
"F",50,NA,57.2999992370605,27.5799999237061,NA,55.8899993896484,"todut","g2u5e"
"M",51.2000007629395,NA,59.9000015258789,23.9200000762939,NA,53.5800018310547,"nyaq2","guysq"
"F",56.2000007629395,NA,52.4000015258789,19.8299999237061,NA,39.7599983215332,NA,"m03a1"
"M",NA,NA,96.3000030517578,38.5,NA,NA,NA,NA
"F",41.7999992370605,NA,55.2999992370605,25.6200008392334,NA,39.7000007629395,"xzcbq","n8o8e"
"F",NA,NA,50.2000007629395,26.1000003814697,NA,NA,NA,"cg67e"
"M",51.2999992370605,NA,57.5,27.5799999237061,NA,51.7200012207031,"kueho","hih7i"
"F",NA,NA,43.7000007629395,56.5800018310547,NA,NA,NA,NA
"F",51.2000007629395,NA,52.7000007629395,22.2999992370605,NA,38.1500015258789,"o0onr","zlxxr"
"F",51.5,NA,71.9000015258789,26.5799999237061,NA,55.7400016784668,"a7uto","upcv6"
