"fert","fertf","age","agef","s_dec_death","fid"
2,4,62.5999984741211,56.2999992370605,1620,"upox7"
5,5,49.5999984741211,69.5,1640,"f64zb"
3,5,48,82.5,1710,"rym9b"
0,5,41.7000007629395,62.9000015258789,1680,"egx5b"
0,9,31.2000007629395,56.2000007629395,1630,"wxo2i"
3,5,51.5999984741211,77.0999984741211,1840,"jmkbq"
0,4,26,52.2000007629395,1620,"u4mfq"
9,1,59.2999992370605,56.2000007629395,1650,"s3sr2"
3,4,42,52.7999992370605,1650,"gmvou"
NA,6,NA,56.0999984741211,1630,"apui4"
2,5,57.4000015258789,47.0999984741211,1590,"wwvml"
7,NA,74.0999984741211,70.6999969482422,1700,"n4g6v"
4,4,59.5999984741211,71.5,1720,"dqgio"
NA,3,77.4000015258789,NA,1840,"f4i4l"
0,7,41.2000007629395,57.4000015258789,1670,"ksm7l"
0,4,44.2999992370605,NA,1790,"h7qee"
1,7,49.7999992370605,74.5,1660,"qjj42"
