"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp","hh"
"mkaf8",0,27.1000003814697,2,"iehsu",59.4599990844727,NA,"g8rlg",53.1500015258789,NA,2,1632
"b1ky2",0,65.0100021362305,4,NA,NA,NA,NA,NA,NA,NA,2606
"gtkss",1,32.2200012207031,3,"z3s7f",67.879997253418,NA,"m0rw8",68.1800003051758,NA,6,2525
"ikaqv",0,73.7099990844727,5,NA,NA,NA,NA,NA,NA,NA,3921
"em0pf",1,50.7700004577637,5,NA,NA,NA,NA,NA,NA,NA,1609
"g8tje",0,69.879997253418,5,NA,NA,NA,NA,NA,NA,NA,2506
"yryy7",1,68.2900009155273,3,NA,NA,NA,NA,NA,NA,NA,3504
"rtwvk",0,48.2299995422363,2,NA,NA,NA,NA,NA,NA,NA,503
"uev8j",1,43.5,5,NA,NA,NA,NA,NA,NA,NA,3707
"jm3zk",0,63.7999992370605,4,NA,NA,NA,NA,NA,NA,NA,3919
"mk63w",0,74.4700012207031,5,NA,NA,NA,NA,NA,NA,NA,4610
"bxd3a",0,46.2799987792969,4,NA,NA,NA,NA,NA,NA,NA,3935
"gv84l",1,59.4599990844727,7,NA,NA,NA,NA,NA,NA,NA,3813
"hgr01",0,60.0200004577637,4,NA,NA,NA,NA,NA,NA,NA,604
"m0rw8",1,68.1800003051758,6,NA,NA,NA,NA,NA,NA,NA,2524
"u1q9m",1,58.8899993896484,5,NA,NA,NA,NA,NA,NA,NA,614
"u7nb1",1,35.2000007629395,1,NA,NA,NA,NA,NA,NA,NA,632
"t1s2z",1,46.5499992370605,5,"rv8ip",63,NA,"a6xtj",80.3000030517578,NA,6,3840
"rlwnw",1,49.4199981689453,4,NA,NA,NA,NA,NA,NA,NA,2607
"za11h",0,56.1800003051758,7,NA,NA,NA,NA,NA,NA,NA,2611
"k0ldv",1,60.7299995422363,5,NA,NA,NA,NA,NA,NA,NA,3818
"ebo81",0,29.7299995422363,3,"g8tje",69.879997253418,NA,"p4v0t",83.6500015258789,83.4899978637695,5,1634
"tlexk",1,43.1800003051758,6,NA,NA,NA,NA,NA,NA,NA,4708
"nxzth",0,59.1699981689453,4,NA,NA,NA,NA,NA,NA,NA,2614
"bbqru",0,57.6399993896484,3,NA,NA,NA,NA,NA,NA,NA,4512
"wmbsa",0,57.5200004577637,1,NA,NA,NA,NA,NA,NA,NA,511
"izlnf",1,70.9599990844727,5,NA,NA,NA,NA,NA,NA,NA,3824
"u82wa",1,70,3,NA,NA,NA,NA,NA,NA,NA,625
"lymwc",0,40.2099990844727,5,"ki7gm",70.1100006103516,NA,"ydm2s",66.4000015258789,42.2000007629395,3,3806
"kn8wg",0,79.0100021362305,6,NA,NA,NA,NA,NA,NA,NA,3609
"t1t8t",0,42,3,NA,NA,NA,NA,NA,NA,NA,4622
"z5inc",1,58.5999984741211,4,NA,NA,NA,NA,NA,NA,NA,4710
"m5xkv",0,48.9500007629395,4,NA,NA,NA,NA,NA,NA,NA,4730
"bftih",1,34.5699996948242,4,"fvbzt",61.3899993896484,NA,"c4zoh",67.7699966430664,NA,1,2625
"aevyy",0,68,5,NA,NA,NA,NA,NA,NA,NA,4821
"lg4ll",0,39.3300018310547,3,NA,NA,NA,NA,NA,NA,NA,1603
