"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
NA,"b982q",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"wofbq",206.040573120117,NA,NA,2,6.5,25,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"egrjp","z857z",NA,78.2818145751953,NA,2,NA,50,48.5
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
"ni94m","mmbnq",NA,NA,NA,1,NA,15,17
NA,"pg2o3",NA,NA,NA,2,NA,46,NA
"kadhe","bsj18",NA,3193.01000976562,NA,1,NA,54,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ls30o","vi5b3",NA,NA,2406.7333984375,2,NA,31,38.2000007629395
NA,"gzcpj",NA,NA,NA,2,NA,25,NA
"bxhhq","ip3cb",NA,NA,NA,1,NA,36,40.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"he4si","z5n4h",NA,NA,NA,2,NA,40,84
NA,"yy205",NA,2971.93969726562,NA,1,NA,20.5,NA
"lu6pe",NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ggs0t","s0adq",NA,NA,NA,1,NA,14.5,15
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
NA,NA,5241.42578125,NA,NA,NA,33,NA,NA
"nggt4","k7f1n",NA,NA,8016.15966796875,2,NA,32,39
NA,NA,NA,NA,NA,1,NA,NA,NA
"hsga4","rvmrf",NA,NA,NA,1,NA,40,NA
"pqbdh","nv9zo",NA,NA,NA,1,NA,67,76
NA,"ugjlv",NA,NA,NA,2,NA,22,NA
"or7a2","psauo",NA,NA,NA,2,NA,34,39
"o284l","pzxei",NA,61.3888893127441,NA,2,NA,38,41
