"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"txubb",0,35,NA,NA,NA,NA,"d55cc",85,3,110,100,32,FALSE
"sva79",1,33,NA,1,2,6,"lil7t",90,1,12,20,23,FALSE
"naprm",1,38,NA,4,6,5,"eq2zq",73,0,10,15,11,FALSE
"wcp80",1,58,0,12,17,13,"r6jmd",84,4,150,300,41,FALSE
"ljimt",1,34,NA,5,2,6,"qfdbf",79,0,20,45,23,FALSE
"f594o",0,23,NA,NA,NA,NA,"c7ouq",79,1,30,32,20,FALSE
"av2st",1,43,NA,9,8,8,"jtahy",80,1,60,55,14,FALSE
"fiw60",1,38,NA,15,11,4,"ydecv",75,3,100,50,17,FALSE
"lfjko",1,34,NA,2,2,9,NA,NA,NA,NA,NA,NA,FALSE
"jg7vq",1,34,NA,10,6,4,"ty83m",71,2,35,30,24,FALSE
"ai8tg",1,31,NA,NA,NA,NA,"yv7q5",74,0,30,33,13,FALSE
"oes6d",1,46,2,30,11,6,"ydecv",75,3,100,50,17,FALSE
"ecr8y",1,85,3,110,100,32,NA,NA,NA,NA,NA,NA,TRUE
"np5sg",1,33,NA,15,11,5,"ydecv",75,3,100,50,17,FALSE
"d2r1b",0,45,1,16,12,9,"dd17q",68,3,125,160,26,FALSE
"uk6n4",0,30,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"y16ig",0,30,NA,5,6,6,NA,NA,NA,NA,NA,NA,FALSE
"za26a",1,44,NA,11,7,9,"l3mau",92,3,75,100,29,FALSE
"x1w78",1,35,NA,10,3,5,"ty83m",71,2,35,30,24,FALSE
"fbcu2",1,47,0,14,17,17,"r6jmd",84,4,150,300,41,FALSE
"f8ips",1,83,NA,45,25,32,NA,NA,NA,NA,NA,NA,FALSE
"l6cv2",0,33,NA,4,8,6,"yv7q5",74,0,30,33,13,FALSE
"qggfu",1,60,NA,38,20,16,NA,NA,NA,NA,NA,NA,TRUE
"ymksy",0,36,0,12,6,7,"ty83m",71,2,35,30,24,FALSE
"tisoo",0,59,NA,8,35,9,NA,NA,NA,NA,NA,NA,FALSE
"p97q5",1,47,NA,38,7,9,NA,NA,NA,NA,NA,NA,FALSE
"zy3ri",1,42,NA,5,3,5,"jywkv",73,0,35,20,22,FALSE
"v07ng",0,57,NA,6,4,2,"zwhg5",83,0,20,20,14,FALSE
"roqoe",1,85,0,55,70,21,NA,NA,NA,NA,NA,NA,TRUE
"zap4o",0,42,NA,NA,NA,NA,"jywkv",73,0,35,20,22,FALSE
"gg5xc",1,51,2,35,19,20,"hrjso",93,2,70,150,25,FALSE
"xgaxo",0,15,NA,NA,NA,NA,"ovmsp",84,3,70,90,24,FALSE
"gaqyl",0,34,0,12,20,6,"t8kq8",73,3,95,120,12,FALSE
"lg2uu",1,51,NA,2,2,1,"pqe4n",78,1,45,20,16,FALSE
"q3dom",0,32,NA,8,18,4,"ovmsp",84,3,70,90,24,FALSE
"n7uz3",1,55,NA,1,7,7,"ovmsp",84,3,70,90,24,FALSE
"dbrp7",0,39,NA,NA,NA,NA,"ovmsp",84,3,70,90,24,FALSE
"yo77q",1,78,3,100,100,23,NA,NA,NA,NA,NA,NA,FALSE
"oj504",1,53,NA,40,27,12,NA,NA,NA,NA,NA,NA,FALSE
"up80u",1,35,0,30,11,6,"ydecv",75,3,100,50,17,FALSE
"hnip0",0,33,NA,2,12,1,"lil7t",90,1,12,20,23,FALSE
"jj8gh",1,38,NA,3,3,4,"pqe4n",78,1,45,20,16,FALSE
"o8w31",1,55,1,30,7,9,"d55cc",85,3,110,100,32,FALSE
"ei1s8",0,17,NA,NA,NA,NA,"ovmsp",84,3,70,90,24,FALSE
"bnln9",0,13,NA,NA,NA,NA,"mqo0i",90,2,110,160,31,FALSE
"p2bhu",0,37,0,10,6,4,"uzsoe",85,0,55,70,21,FALSE
"sil51",1,44,NA,4,6,12,"yv7q5",74,0,30,33,13,FALSE
"fojrh",0,35,2,8,16,9,"d7m1d",72,0,25,10,6,FALSE
"qe62y",1,45,NA,9,7,8,"ovmsp",84,3,70,90,24,FALSE
"ta3m0",1,33,0,15,10,10,NA,NA,NA,NA,NA,NA,FALSE
"jpxq6",0,50,2,24,18,5,"c7ouq",79,1,30,32,20,FALSE
"onov5",1,42,1,4,3,17,"ty83m",71,2,35,30,24,FALSE
"jjusm",1,36,2,9,3,9,NA,NA,NA,NA,NA,NA,FALSE
"g10an",1,30,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"qfc43",1,32,NA,5,4,10,NA,NA,NA,NA,NA,NA,FALSE
"fjifg",0,34,2,8,12,5,"l3mau",92,3,75,100,29,FALSE
"lrm74",1,46,0,16,15,10,NA,NA,NA,NA,NA,NA,FALSE
"cjhpn",1,42,NA,7,17,7,"r6jmd",84,4,150,300,41,FALSE
"v7bhd",1,49,NA,1,6,6,"yv7q5",74,0,30,33,13,FALSE
"ml9ap",1,32,NA,11,10,0,"jtahy",80,1,60,55,14,FALSE
"oa3h6",0,50,NA,4,16,9,"ovmsp",84,3,70,90,24,FALSE
"r44lj",0,30,NA,10,18,6,NA,NA,NA,NA,NA,NA,FALSE
"ywne4",1,71,2,35,30,24,NA,NA,NA,NA,NA,NA,TRUE
"sk2fz",1,33,NA,NA,NA,NA,"zwhg5",83,0,20,20,14,FALSE
"t6dq3",1,31,NA,6,7,7,"ovmsp",84,3,70,90,24,FALSE
"dy7w9",1,35,NA,2,2,8,NA,NA,NA,NA,NA,NA,FALSE
"q8i57",0,40,NA,6,18,7,"hrjso",93,2,70,150,25,FALSE
"gz4uv",1,63,1,15,7,20,"mqo0i",90,2,110,160,31,FALSE
"js7pa",1,54,NA,12,3,9,"zwhg5",83,0,20,20,14,FALSE
"zqegb",0,39,0,10,6,7,"lil7t",90,1,12,20,23,FALSE
"evcd6",1,78,1,45,20,16,NA,NA,NA,NA,NA,NA,TRUE
