"wealth","wealthf","male","age","fid"
NA,NA,1,".","n53lj"
0.150000005960464,0.699999988079071,0,"45","u0jko"
NA,NA,1,".","xkfm8"
0,NA,1,"54","xwwzu"
NA,NA,0,".","u0jko"
1,NA,1,"61","lj552"
0,NA,1,"106","hk4xx"
0,NA,0,".","znu3y"
NA,NA,0,".","d98ud"
0.600000023841858,0.600000023841858,1,"73","sr565"
0,NA,1,"30","ywcg1"
NA,NA,1,"90","eve88"
0,NA,0,".","rk2q0"
0.699999988079071,NA,1,"84","sqnlr"
NA,1,0,"37","o5bsz"
0,NA,1,"88","j8r2b"
NA,NA,1,"90","lj552"
NA,NA,1,".","lj552"
0,NA,1,"73","sownw"
NA,NA,1,"33","vwf7z"
0,NA,1,"54","ol4c2"
1,NA,1,"67","lj552"
0,NA,0,".","tho1c"
0.200000002980232,NA,0,"51","g8teq"
NA,NA,0,".","c3hab"
0,NA,0,"61","k11x9"
0.5,0.300000011920929,0,"31","uei8r"
NA,NA,0,".","dvezc"
0,NA,1,"36","b2wu6"
0,NA,0,".","d1gdh"
0,NA,0,".","ceguu"
0.400000005960464,NA,1,"85","txnic"
1,NA,0,".","x5nro"
0.25,NA,0,".","uei8r"
0.5,NA,0,".","dvezc"
0,NA,0,".","xtov7"
NA,NA,1,".","x0htj"
NA,0.5,1,"38","bk20p"
0.25,NA,0,".","gfbxn"
NA,NA,0,".","faz12"
0.5,NA,0,".","qksi3"
0,NA,0,"84","pfalu"
0.100000001490116,0.25,1,"67","gg4na"
NA,NA,0,".","q33f9"
NA,0.5,1,"36","w4alk"
0,NA,1,"51","npvmv"
0.5,NA,1,"70","w62ot"
0.75,NA,0,".","dgn8s"
0.800000011920929,NA,1,"74","r2l3x"
