"sex","land","kuniony","landf","uniony","idu"
2,282,"1845",14.5,1812,"PI2492"
2,5,"NA",8,1757,"GS1135"
1,117.5,"1786",181,1746,"LP1487"
1,102,"1848",20,1817,"EI1571"
2,0,"1831",0,1802,"CN0540"
2,6,"1800",0,1770,"GS0752"
1,0,"1819",0,1790,"UT0925"
1,129,"1794",137,1756,"UT1893"
2,0,"1754",3,1724,"PI0362"
1,24.5,"NA",0,1775,"CN0784"
1,79.5,"1784",79.5,1733,"PI2201"
2,200,"1835",129,1801,"EI1634"
1,0,"1769",11,1731,"GH0127"
1,0,"1868",16,1836,"CN0232"
1,0,"1798",0,1768,"UP1215"
2,0,"1736",0,1710,"GS2028"
1,0,"1798",0,1770,"GS0752"
2,215,"NA",118,1775,"VI1671"
1,8,"1835",0,1793,"GH1466"
1,64,"1811",94.5,1754,"JE0062"
1,0,"1804",0,1770,"HW1141"
1,0,"1796",0,1763,"PI0478"
1,0,"1803",0,1765,"PI0228"
2,0,"1761",0,1731,"EI1201"
2,0,"1795",37.5,1764,"PI1988"
2,0,"1772",3,1744,"GS0494"
1,134,"1758",144,1727,"PI1282"
2,46,"1816",2,1791,"EI1791"
2,21,"1822",7.5,1792,"CH0049"
1,0,"1778",0,1732,"PI1251"
1,318.799987792969,"1784",58.75,1759,"GI1645"
2,0,"1803",5.5,1771,"PI1975"
2,113,"1792",109,1760,"PI1981"
2,3,"1744",18,1723,"GS1384"
2,61.5,"1798",31.5,1773,"GH0989"
2,1,"1753",1,1729,"VI1109"
1,0,"1761",0,1735,"VI1308"
1,49,"1821",135,1794,"PI1834"
2,0,"1807",0,1767,"HW1254"
1,135,"1837",146,1812,"PI2275"
1,141.5,"1815",34,1778,"EI0210"
2,0,"1757",0,1711,"GS2011"
2,0,"1778",2,1746,"UT1125"
2,31.5,"1773",142,1739,"GH0582"
1,0,"1753",0,1714,"GH0655"
2,0,"1800",0,1759,"PI1962"
2,5,"NA",0,1778,"UT1453"
1,0,"1805",0,1772,"HW0155A"
2,0,"1799",0,1758,"PI0415"
2,136.5,"1788",148.5,1753,"UP0886"
2,2,"1744",0,1710,"GH1727"
1,0,"1746",0,1717,"JE0002"
2,0,"1799",109,1766,"PI1947"
2,0,"1801",0,1775,"PI1958"
2,15,"1760",3,1733,"HI0170"
2,83,"1811",146,1788,"UT1606"
1,0,"1847",24,1799,"FR0569"
2,8,"1835",26,1801,"GH1567"
2,0,"1745",0,1711,"GS2363"
2,121,"1833",80,1804,"PI1619"
1,0,"1790",0,1756,"GH0999"
1,0,"1800",0,1771,"PI2064"
1,0,"NA",11,1724,"GH0070"
1,0,"1783",0,1741,"HW0980"
2,0,"1786",0,1748,"VI0844"
2,147,"1797",139,1772,"GI0388"
1,81,"1786",90,1749,"CI0264"
2,0,"1777",0,1741,"EI0972"
1,240,"1855",385,1828,"GH1585"
2,156,"1851",121,1833,"PI0974"
1,0,"1784",3,1755,"UT1509"
1,7.5,"1810",139.5,1786,"GS1433"
1,183,"1852",116.5,1801,"GH0689"
2,126,"1792",172,1765,"GI1116"
