"mid","rsm","rs","age","agem","schedcst"
"gtjig",6,NA,70,75,1
"lxuir",6,NA,50,70,1
"an6va",1,2.94000005722046,35,20,1
"h84p6",7,0.939999997615814,28,50,1
"jkyli",6,NA,37,68,1
"qojag",3,1.87999999523163,27,55,1
"gzfxz",4,NA,50,65,1
"xp8vl",6,NA,23,45,1
"u6ki9",8,0.939999997615814,39,82,1
"t6c4j",4,NA,29,65,0
"i02g8",2,3.94000005722046,40,30,1
"jkoi5",5,NA,32,35,0
"rqn4h",8,1.87999999523163,35,65,1
"l61a2",8,NA,32,60,1
"l61a2",8,NA,22,60,1
"gy3vp",3,5.88000011444092,53,37,1
"hmme1",7,0.939999997615814,27,55,1
"vzs0j",8,NA,27,56,0
"yla3j",5,NA,37,50,1
"zpxgf",4,NA,50,75,0
"bw25f",4,NA,72,75,1
"j413c",5,NA,29,60,0
"ilenx",5,3.88000011444092,35,65,1
"p5kqs",6,6.94000005722046,45,75,1
"by5bw",8,0.939999997615814,32,68,1
"p14m3",5,NA,25,55,1
"c6o5u",5,NA,38,60,1
"h5ir4",2,6.88000011444092,45,54,1
"xhig4",1,0.939999997615814,40,53,1
"xciva",8,2,45,45,1
"ppk7q",6,NA,50,68,0
"egz7f",4,NA,28,45,1
"wpm5s",7,1.87999999523163,27,67,1
"ca2zv",6,1,43,75,0
"z7whd",6,NA,57,70,1
"m60x2",2,5.94000005722046,37,50,1
"zeifn",4,0.939999997615814,22,28,1
"htx73",6,0.939999997615814,38,75,0
"l5ust",8,3.88000011444092,47,85,1
"egk3e",6,NA,21,50,0
"c4t3f",6,NA,43,66,0
"alpdl",4,3.94000005722046,40,62,1
"gigpe",10,NA,23,60,1
"p0m5x",5,NA,50,75,1
"sxspa",6,NA,37,55,1
"xgwzq",3,0.939999997615814,27,55,1
"l86vh",3,3.8199999332428,38,50,1
"c5bey",6,NA,40,70,1
"p47ai",6,1.87999999523163,30,60,1
"xuhbm",3,4.82000017166138,38,75,1
"yaia1",2,1.87999999523163,32,60,1
"l1pcl",6,NA,50,67,1
"bw2w1",3,NA,45,65,0
"z5n46",6,4.94000005722046,47,75,1
"rfuzj",1,0.939999997615814,35,50,1
"i391a",7,NA,23,48,0
"zak6v",6,3,45,65,1
"xixn4",5,0.939999997615814,30,75,0
"hdpl4",9,3.88000011444092,40,55,1
"mj2y5",3,NA,30,55,0
"umly5",6,5.82000017166138,42,45,1
"vwmu3",3,NA,48,70,1
"qq1t8",5,2.88000011444092,35,65,1
"jey1w",3,4,42,50,1
"tlzcq",5,NA,25,65,0
"v1b6u",4,4.88000011444092,37,65,0
"z41wr",5,NA,39,60,1
"tt432",3,0.939999997615814,34,58,1
"i391a",7,NA,29,48,0
"b9503",1,2.94000005722046,30,65,1
"nlxwn",4,1,40,70,1
"hgdrg",7,2.94000005722046,35,55,0
"xdubn",6,NA,50,80,1
"vxl3x",3,2.94000005722046,40,57,1
"mi40o",7,NA,25,60,1
"y6f0n",4,0.939999997615814,30,65,1
"x4v95",6,0.939999997615814,27,45,1
"df903",6,NA,41,65,1
"tjwnl",3,NA,30,35,1
"exnp1",4,NA,29,52,0
"mi40o",7,0.939999997615814,35,60,1
"wgwfp",5,1.94000005722046,40,75,0
